type,release_year,runtime,seasons,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,lead_prod_countries,prod_countries_cnt,main_genre,dbscan_clusters
SHOW,2015,43,3.0,7.5,42177.0,19.743,6.7,CA,1,scifi,6
SHOW,2016,25,2.0,8.1,5650.0,4.476,7.4,GB,1,comedy,0
SHOW,2015,54,3.0,7.9,16505.0,31.857,7.8,CA,2,drama,19
SHOW,2015,43,7.0,7.2,10556.0,35.952,7.7,US,1,scifi,2
SHOW,2015,52,3.0,7.3,17240.0,48.448,6.8,AU,1,scifi,24
SHOW,2015,29,2.0,7.3,23947.0,9.636,6.4,US,1,comedy,1
SHOW,2016,47,3.0,7.1,20979.0,23.849,6.8,CA,1,action,44
SHOW,2015,15,5.0,5.4,1268.0,42.328,5.0,GB,1,family,40
SHOW,2016,32,3.0,7.7,42357.0,26.397,7.3,US,1,comedy,1
SHOW,2015,29,3.0,7.3,3266.0,19.089,7.2,UA,1,comedy,-1
SHOW,2015,43,3.0,6.6,24694.0,30.71,6.6,US,1,drama,13
SHOW,2016,30,1.0,7.7,20370.0,8.663,7.3,GB,1,comedy,0
SHOW,2016,10,3.0,8.4,7086.0,40.266,8.4,JP,1,scifi,11
SHOW,2015,24,6.0,5.3,3287.0,50.043,7.2,US,1,comedy,1
SHOW,2016,42,5.0,6.2,22172.0,95.708,7.1,US,1,scifi,2
SHOW,2015,43,3.0,6.6,60567.0,23.057,6.5,US,1,drama,13
SHOW,2016,22,1.0,8.5,44643.0,25.494,8.7,JP,1,drama,9
SHOW,2015,27,5.0,8.0,36562.0,18.906,7.3,US,1,comedy,1
SHOW,2015,32,3.0,8.3,72881.0,11.678,7.6,US,1,drama,13
SHOW,2016,42,3.0,7.6,7696.0,6.942,7.2,US,1,action,10
SHOW,2016,30,3.0,6.9,13620.0,23.522,6.2,US,1,drama,13
SHOW,2015,45,3.0,7.6,9044.0,12.526,7.4,NO,1,war,-1
SHOW,2016,46,4.0,7.3,25452.0,29.033,7.2,BR,1,scifi,-1
SHOW,2016,30,5.0,7.4,38420.0,25.365,7.5,US,1,comedy,1
SHOW,2016,59,3.0,7.6,10782.0,15.882,7.7,FI,1,drama,-1
SHOW,2015,62,2.0,8.6,94419.0,8.723,7.9,US,1,documentation,35
SHOW,2016,45,3.0,7.6,5920.0,12.755,7.2,AU,1,crime,56
SHOW,2016,27,5.0,6.7,27445.0,25.211,7.6,US,1,comedy,1
SHOW,2016,50,3.0,7.4,8086.0,12.012,6.6,AU,1,war,-1
SHOW,2015,24,2.0,7.9,1660.0,9.168,7.1,JP,1,war,-1
SHOW,2015,50,7.0,8.5,15352.0,10.447,7.9,US,1,documentation,35
SHOW,2015,49,4.0,8.2,21862.0,156.976,8.0,ES,1,drama,49
SHOW,2016,24,6.0,6.8,3285.0,12.075,7.0,CA,1,drama,19
SHOW,2015,43,2.0,7.0,12279.0,13.111,6.8,US,1,drama,13
SHOW,2016,18,3.0,7.4,13723.0,12.16,7.3,US,1,scifi,2
SHOW,2016,42,5.0,7.3,5227.0,18.424,7.4,US,1,drama,13
SHOW,2016,92,1.0,7.6,37577.0,14.808,7.6,US,1,drama,13
SHOW,2016,59,5.0,8.4,6897.0,14.88,7.3,US,1,documentation,35
SHOW,2016,44,3.0,7.0,7742.0,21.454,6.9,US,1,drama,13
SHOW,2015,92,1.0,9.2,6718.0,18.37,8.7,KR,1,comedy,29
SHOW,2016,51,2.0,7.1,3802.0,13.651,7.1,IE,2,war,-1
SHOW,2016,62,2.0,8.2,22462.0,7.479,7.348,US,1,drama,13
SHOW,2016,22,3.0,8.4,16779.0,50.896,8.5,US,1,scifi,2
